customer,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08
Onyx Fitness,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2760,2760,2760,3380
Pinnacle Title,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810
Quill Publishing,2480,2480,2480,2480,2480,2480,2480,2480,3080,3080,3080,2430,2430,2430,2430,2430,2430,2430
Rook Games,1350,1350,1120,1120,1250,1570,1570,1570,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750
Saffron Restaurants,2510,2510,2510,2860,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
Talon Defense,2250,2250,2250,2250,2250,2250,2250,2250,2610,2610,2610,2610,2610,2610,2610,2610,2610,3190
Upland Farms,1570,1570,1570,1570,1570,1800,2220,2220,2220,2480,1960,1960,1960,1960,1960,1960,1960,1960
Vireo Wireless,1920,1920,1920,1920,1920,1920,1920,2160,2160,2160,2620,3090,3090,3700,3700,3700,3700,3700
Wrenfield Council,1870,1870,1870,1870,1870,1870,1870,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410
Yew Tree Homes,1550,1550,1550,1550,1550,1550,1550,1550,1550,1910,1910,1910,1910,1910,1910,1910,1910,2470
Zircon Glass,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960
Amberline Rail,2580,2580,2580,2580,3340,3340,3340,3340,3340,3340,3340,3340,4300,4300,4300,4300,4300,4300
Bluecrest Credit,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2050,2050,2050
Copperleaf Dental,2390,2390,2390,2390,2390,2390,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830
Driftwood Resorts,2460,2460,2460,2460,2460,2460,2460,2970,2970,2970,2970,3580,3580,3580,3580,3580,3580,3580
Emberly Candles,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2740,2740,2740,2740,2740,2740,2740
Fairhaven Senior Living,2320,2320,2320,2320,2320,2320,2320,2500,2500,2500,2500,2860,0,0,0,0,0,0
Goldfinch Payments,1950,1950,1950,1950,1950,1950,1950,1700,1700,1700,2140,2140,2140,2140,2140,2140,0,0
Hollis Manufacturing,0,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2380,2380
Ivory Tower Press,0,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440
Jubilee Events,0,0,1610,1610,1610,1920,1920,1920,1920,1920,1920,1920,1920,2320,2320,2320,2320,2320
