customer,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08
Arcadia Freight,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340,1990,1990,2570,2570,2570,2570,2570
Bellweather Health,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,2140,2140,2140,2620
Cobalt Mills,1930,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2860,2480,2480,2480,2480,2480
Dunmore Retail,2120,2120,2670,2670,2670,2670,2670,3440,3440,3440,13760,3440,3440,3440,3440,4010,4010,4010,4010,4010,4010,4010,4010,4010
Everly Bank,16180,16180,16180,16180,17970,17970,17970,17970,19750,19750,19750,19750,21540,22000,22000,22000,23780,23780,23780,23780,25570,25570,25570,25570
Foxglove Media,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2760,2760,2760,2760,2760,2760,2760,2760,2760
Granite Payroll,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,3270,3270,3270,2650,0,0,0,0,0
Harbor Clinics,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3930,3930,4430,4430,17710,4430,4430,4430,4430,4430,4430,4430,4430,4430
Ironside Energy,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juniper Foods,3150,3150,3150,3150,3150,3150,3150,3150,3150,3610,3610,3610,3610,3610,3610,3610,3610,3610,3610,3610,3610,3610,3610,3610
Kestrel Air,1640,1640,1320,1320,10130,10130,10130,10330,10330,10330,10330,10330,10330,10330,10330,10330,10330,10330,10330,10330,1520,1520,1940,1940
Lumen Schools,2380,2380,2380,2690,2690,2690,2690,2690,2170,2170,2170,2170,2170,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370
Marlow Insurance,2460,2460,2460,2460,2460,2460,2460,2920,2080,2420,2420,2420,3050,3050,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
Northgate Hotels,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,2620,2620,2620,2620,2620,2620,2620
Orchard Pharma,1490,1490,1490,1490,1490,1490,1670,1670,1670,1670,1670,1670,1670,1840,2260,2260,2260,2260,2260,0,0,0,0,0
Pioneer Water,2480,2480,2480,2480,2480,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,3320,3320,0,0,0,0,0
Quarry Labs,2390,2390,2390,2390,2390,2630,2630,3380,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,4370,4370,4370
Redwood Transit,2200,1950,1950,1950,1950,1950,1950,1950,1950,2460,2460,2460,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,1490
Sable Mining,2530,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870
Tidewater Ports,2180,2180,2180,2180,2180,2180,2180,2180,2180,9560,9560,9560,9560,9560,9810,9810,9810,9810,9810,9810,9810,9810,10260,10260
Umber Studios,1770,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260
Vantage Realty,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
Willow Care,2990,2990,2990,2990,2990,2990,2990,2990,2990,3590,3590,3590,3590,3590,3590,3590,3590,3590,3590,3590,3590,3590,3590,3590
Xenon Chemicals,1690,1690,1690,1690,1690,1690,1690,2170,2170,2170,2680,0,0,0,0,0,0,0,0,0,0,0,0,0
Yardley Legal,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,3140,0,0,0
Zephyr Telecom,1480,1480,1480,1480,1480,1480,1480,1480,1480,1700,1700,1700,1700,1700,1700,2030,2030,2030,2030,2030,2030,2030,2030,1790
Alder Robotics,3120,2760,2760,2760,2760,2760,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3860
Birch Capital,2740,2740,2740,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130
Cedar Logistics,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2980,2980,2980,2980,2980,2980,2980,3570,3570
Delta Dental Group,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,0,0,0,0,0,0,0,0,0,0,0
Elm Street Bank,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2270,2270,2270,2270,2270,2270,2630,2630,2630,2630,2630,2630,2630
Fjord Seafood,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310
Garnet Security,1690,1690,1690,1240,1570,1570,1570,1570,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,0,0,0,0
Heron Aerospace,1540,1540,1540,1540,1540,1540,1540,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,2090,2090,2090,2090,2090
Indigo Apparel,0,3030,3030,3030,3030,3030,3030,3030,3030,3030,3030,3030,3030,3620,3620,3620,3620,3620,3620,3620,3620,2780,2780,2780
Jasper Hospitals,0,1760,1760,1760,1950,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kinetic Motors,0,0,2080,2080,2080,2080,2080,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,3070,3070,3070,3070,3070
Larkspur Hotels,0,0,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,3150,3150,3150,3150,3150,3150,3150,3150,3820,3820,4430
Meridian Utilities,0,0,0,2530,2530,2530,2530,2830,2830,2830,3510,3510,3510,3510,2930,0,0,0,0,0,0,0,0,0
Nimbus Cloud,0,0,0,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340
Onyx Fitness,0,0,0,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180
Pinnacle Title,0,0,0,0,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1640,1640
Quill Publishing,0,0,0,0,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1250,1250,1250,1250,1250
Rook Games,0,0,0,0,0,1750,1750,1750,1750,1750,1750,1750,1750,1750,0,0,0,0,0,0,0,0,0,0
Saffron Restaurants,0,0,0,0,0,2570,2570,2570,2810,2810,2810,2810,2810,2810,2810,2810,2810,2810,2810,2070,2070,2070,2070,2070
Talon Defense,0,0,0,0,0,0,2590,2590,2590,2590,2590,2590,2990,2990,3390,4370,4370,4370,4370,4370,4370,4370,4370,4370
Upland Farms,0,0,0,0,0,0,3260,3260,3260,3260,3260,3260,3260,3260,3260,0,0,0,0,0,0,0,0,0
Vireo Wireless,0,0,0,0,0,0,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,0,0,0
Wrenfield Council,0,0,0,0,0,0,0,1580,1920,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,3090,3090
Yew Tree Homes,0,0,0,0,0,0,0,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1400,1400,1650
Zircon Glass,0,0,0,0,0,0,0,0,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360
Amberline Rail,0,0,0,0,0,0,0,0,1950,1950,1950,1950,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420
Bluecrest Credit,0,0,0,0,0,0,0,0,0,2990,2990,2990,3720,3720,3720,3720,3720,3720,3720,4260,4260,4260,4260,4260
Copperleaf Dental,0,0,0,0,0,0,0,0,0,1630,1630,1630,1950,1950,1950,1950,1560,1560,1170,1170,1170,1170,1170,1170
Driftwood Resorts,0,0,0,0,0,0,0,0,0,3380,3380,3380,3380,3380,3380,3380,3740,3740,3740,3740,3740,0,0,0
Emberly Candles,0,0,0,0,0,0,0,0,0,0,3080,3080,3080,3080,3080,3080,3080,3080,3920,3920,3920,3920,3920,3920
Fairhaven Senior Living,0,0,0,0,0,0,0,0,0,0,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930
Goldfinch Payments,0,0,0,0,0,0,0,0,0,0,0,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,3070,3070
Hollis Manufacturing,0,0,0,0,0,0,0,0,0,0,0,2590,2590,2980,2980,2980,2980,2980,2980,2980,2980,3560,3560,3560
Ivory Tower Press,0,0,0,0,0,0,0,0,0,0,0,0,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260
Jubilee Events,0,0,0,0,0,0,0,0,0,0,0,0,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780
Keystone Builders,0,0,0,0,0,0,0,0,0,0,0,0,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,0,0
Lodestar Mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,2770,3110,3110,3110,3110,3110,3110,3110,3110,3110,3110
Mosaic Tiles,0,0,0,0,0,0,0,0,0,0,0,0,0,2770,2770,2770,2770,2280,2280,2280,2280,2920,2920,2920
Nettle Organics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,2020,2020,2020,2500,2500,2500,2500,2500,2500
Oakridge Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
Palisade Storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3130,3130,3130,3130,3130,3130,3130,3130,3130
Quantum Lenders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2360,2360,2360,2360,2360,2360,2360,2920,2920
Riverbend Vets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1760,1760,1760,1760,1760,1760,1760,1760,1760
Sterling Brokers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2510,2510,2510,2510,2510,2510,2510,2510,2510
Thistle Tea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1790,1790,1790,1790,1790,1790,1790,1790
Unity Credit Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,1360,1360,1360,1360,1360,1110,1110
Verdant Garden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1830,1830,1830,1830,1830,2240,2240
Waypoint Couriers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3020,3020,3020,3020,3020,3020,3020
Xylo Instruments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,1170,1170,1170,960,960
Yarrow Wellness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1730,1730,1730,1730,1730,1730
Zenith Optics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480,1480,1480,1480,1480,1480
Aspen Clinics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,1180,1180,1180,1180
Bramble Bakeries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560,1560,1560,0,0
Crescent Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2370,2370,2370,2370,2370
Dovetail Joinery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1710,1710,1710
Elmstead Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3020,3020,3020,3020
Fenwick Retail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,1140,0
Galloway Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3310,4280,4280
Hartwell Logistics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370,1370,1370
Islington Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080,2080,2080
Juno Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060,2060
Kingfisher Travel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,1180
Linden Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270
Maple Leaf Foods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3320
Harrowgate Energy,0,0,24990,26060,27130,28200,29270,30350,31420,32490,33560,34630,35700,36770,37840,38910,39980,41060,42130,43200,44270,45340,46410,47480
Portland Civic,0,0,0,0,0,9520,10350,10350,10350,10350,10350,10350,11190,11190,11190,11190,11190,11190,12020,12020,12020,12020,12020,12020
Acme Logistics Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6190,6190,6190,6190,6190,6190,6190,6190,6190,6190
ACME Logistics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5710,5710,5710,5710,5710,5710,5710,5710,5710
Brightline (pilot),0,0,0,0,0,0,0,0,0,7140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corvid Analytics,0,0,0,0,0,0,0,0,0,0,0,0,0,8930,0,0,0,0,0,0,0,0,0,0
Solstice Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6430,0,0,0,0,0,0
Titan Freight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17850
Meridian Health System,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13690
Global Parcel Co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10710
