month,revenue,cash,burn,expenses,headcount
2024-09,90760,3780000,224000,314760,24
2024-10,95220,3564522,215478,310698,25
2024-11,125230,3344565,219957,345187,25
2024-12,132600,3107130,237435,370035,26
2025-01,148390,2878217,228913,377303,27
2025-02,163930,2644826,233391,397321,27
2025-03,171590,2393956,250870,422460,28
2025-04,179060,2151608,242348,421408,29
2025-05,185170,10404782,246826,431996,29
2025-06,211420,10140478,264304,475724,30
2025-07,221940,9884695,255783,477723,31
2025-08,214560,9624434,260261,474821,31
2025-09,227640,9346695,277739,505379,32
2025-10,243540,9077478,269217,512757,32
2025-11,257500,8803782,273696,531196,33
2025-12,257790,8512608,291174,548964,34
2026-01,263590,8229956,282652,546242,34
2026-02,276470,7942826,287130,563600,35
2026-03,277110,7638217,304609,581719,36
2026-04,275440,7342130,296087,571527,36
2026-05,272450,7041565,300565,573015,37
2026-06,275330,6723522,318043,593373,38
2026-07,280130,6414000,309522,589652,38
2026-08,328220,6100000,314000,642220,39
